
   AIRFOIL COORDINATES
   ===================

      IB1=     10

      X        Z
    0.0000    0.0000
    0.0240    0.0210
    0.0950    0.0380
    0.2060    0.0500
    0.3450    0.0600
    0.5000    0.0580
    0.6550    0.0460
    0.7940    0.0260
    0.9050    0.0120
    1.0000    0.0000

   I    J      QF(I,J,1)     QF(I,J,2)     QF(I,J,3)
  1   11         0.0120         5.2500         0.0105
  2   11         0.0595         5.2500         0.0295
  3   11         0.1505         5.2500         0.0440
  4   11         0.2755         5.2500         0.0550
  5   11         0.4225         5.2500         0.0590
  6   11         0.5775         5.2500         0.0520
  7   11         0.7245         5.2500         0.0360
  8   11         0.8495         5.2500         0.0190
  9   11         0.9525         5.2500         0.0060
 10   11       651.0000         5.2500         0.0000
 

   I    J      QC(I,J,1)     QC(I,J,2)     QC(I,J,3)
  1   12         0.0120         5.7500         0.0105
  2   12         0.0595         5.7500         0.0295
  3   12         0.1505         5.7500         0.0440
  4   12         0.2755         5.7500         0.0550
  5   12         0.4225         5.7500         0.0590
  6   12         0.5775         5.7500         0.0520
  7   12         0.7245         5.7500         0.0360
  8   12         0.8495         5.7500         0.0190
  9   12         0.9525         5.7500         0.0060
 10   12       651.0000         5.7500         0.0000
 

   I    J      QC(I,J,1)     QC(I,J,2)     QC(I,J,3)
  1   13         0.0120         6.2500         0.0105
  2   13         0.0595         6.2500         0.0295
  3   13         0.1505         6.2500         0.0440
  4   13         0.2755         6.2500         0.0550
  5   13         0.4225         6.2500         0.0590
  6   13         0.5775         6.2500         0.0520
  7   13         0.7245         6.2500         0.0360
  8   13         0.8495         6.2500         0.0190
  9   13         0.9525         6.2500         0.0060
 10   13       651.0000         6.2500         0.0000
 
 END OF DATA FROM SUBROUTINE HGRID


          WING LIFT DISTRIBUTION CALCULATION(WITH GROUND    EFFECT)
          ------------------------------------------------------

          ALFA =      5.00        B =     13.00        C =         1.00
          S =     13.00        AR =      13.00        V(INF) =       1.00
          IB =         9        JB =        13        CH =          100.00


          CL=   -0.3184  FL=   -2.0698    CM=   -0.1247   CD=   -0.0029


   =======================================================
   I     J       QC(I,J,1)       DCP(I,J)         GAMA(I,J)
   =======================================================
   1     1          0.012         -1.986         -0.032
   2     1          0.060         -0.867          0.021
   3     1          0.150         -0.567          0.002
   4     1          0.275         -0.454          0.061
   5     1          0.423         -0.409          0.059
   6     1          0.577         -0.407          0.117
   7     1          0.725         -0.451          0.104
   8     1          0.850         -0.566          0.134
   9     1          0.952         -0.661          0.113
 
   1     2          0.012         -1.990         -0.032
   2     2          0.060         -0.869          0.021
   3     2          0.150         -0.568          0.002
   4     2          0.275         -0.455          0.061
   5     2          0.423         -0.409          0.059
   6     2          0.577         -0.408          0.116
   7     2          0.725         -0.452          0.104
   8     2          0.850         -0.567          0.134
   9     2          0.952         -0.663          0.113
 
   1     3          0.012         -1.998         -0.032
   2     3          0.060         -0.873          0.021
   3     3          0.150         -0.571          0.002
   4     3          0.275         -0.457          0.061
   5     3          0.423         -0.411          0.059
   6     3          0.577         -0.410          0.116
   7     3          0.725         -0.454          0.103
   8     3          0.850         -0.570          0.133
   9     3          0.952         -0.665          0.112
 
   1     4          0.012         -2.011         -0.032
   2     4          0.060         -0.879          0.021
   3     4          0.150         -0.574          0.002
   4     4          0.275         -0.460          0.061
   5     4          0.423         -0.414          0.058
   6     4          0.577         -0.413          0.116
   7     4          0.725         -0.457          0.103
   8     4          0.850         -0.573          0.133
   9     4          0.952         -0.670          0.112
 
   1     5          0.012         -2.030         -0.032
   2     5          0.060         -0.887          0.021
   3     5          0.150         -0.580          0.001
   4     5          0.275         -0.465          0.060
   5     5          0.423         -0.418          0.058
   6     5          0.577         -0.416          0.115
   7     5          0.725         -0.461          0.102
   8     5          0.850         -0.579          0.132
   9     5          0.952         -0.676          0.111
 
   1     6          0.012         -2.056         -0.033
   2     6          0.060         -0.898          0.021
   3     6          0.150         -0.587          0.000
   4     6          0.275         -0.471          0.060
   5     6          0.423         -0.423          0.057
   6     6          0.577         -0.422          0.115
   7     6          0.725         -0.467          0.101
   8     6          0.850         -0.586          0.132
   9     6          0.952         -0.685          0.110
 
   1     7          0.012         -2.092         -0.033
   2     7          0.060         -0.914          0.020
   3     7          0.150         -0.597         -0.001
   4     7          0.275         -0.479          0.059
   5     7          0.423         -0.430          0.055
   6     7          0.577         -0.429          0.113
   7     7          0.725         -0.475          0.099
   8     7          0.850         -0.596          0.130
   9     7          0.952         -0.697          0.108
 
   1     8          0.012         -2.140         -0.034
   2     8          0.060         -0.935          0.020
   3     8          0.150         -0.611         -0.002
   4     8          0.275         -0.490          0.058
   5     8          0.423         -0.440          0.054
   6     8          0.577         -0.439          0.112
   7     8          0.725         -0.486          0.097
   8     8          0.850         -0.610          0.129
   9     8          0.952         -0.713          0.106
 
   1     9          0.012         -2.207         -0.035
   2     9          0.060         -0.964          0.019
   3     9          0.150         -0.630         -0.004
   4     9          0.275         -0.505          0.056
   5     9          0.423         -0.454          0.051
   6     9          0.577         -0.453          0.110
   7     9          0.725         -0.501          0.094
   8     9          0.850         -0.629          0.126
   9     9          0.952         -0.735          0.103
 
   1    10          0.012         -2.302         -0.037
   2    10          0.060         -1.006          0.018
   3    10          0.150         -0.658         -0.006
   4    10          0.275         -0.527          0.054
   5    10          0.423         -0.474          0.048
   6    10          0.577         -0.472          0.107
   7    10          0.725         -0.523          0.090
   8    10          0.850         -0.656          0.123
   9    10          0.952         -0.767          0.099
 
   1    11          0.012         -2.442         -0.039
   2    11          0.060         -1.067          0.016
   3    11          0.150         -0.698         -0.010
   4    11          0.275         -0.559          0.051
   5    11          0.423         -0.502          0.042
   6    11          0.577         -0.501          0.102
   7    11          0.725         -0.555          0.084
   8    11          0.850         -0.696          0.118
   9    11          0.952         -0.813          0.092
 
   1    12          0.012         -2.653         -0.042
   2    12          0.060         -1.159          0.014
   3    12          0.150         -0.758         -0.016
   4    12          0.275         -0.607          0.046
   5    12          0.423         -0.546          0.034
   6    12          0.577         -0.544          0.095
   7    12          0.725         -0.602          0.073
   8    12          0.850         -0.756          0.109
   9    12          0.952         -0.884          0.080
 
   1    13          0.012         -2.939         -0.047
   2    13          0.060         -1.284          0.010
   3    13          0.150         -0.839         -0.025
   4    13          0.275         -0.672          0.037
   5    13          0.423         -0.605          0.018
   6    13          0.577         -0.603          0.079
   7    13          0.725         -0.667          0.052
   8    13          0.850         -0.838          0.090
   9    13          0.952         -0.979          0.058
 


  J     QC(I,J,1)   QC(I,J,2)   QC(I,J,3)   DP(I,J)
  1      0.0595      0.2500      0.0295     -0.8675
  1      0.1505      0.2500      0.0440     -0.5672
  1      0.2755      0.2500      0.0550     -0.4544
  1      0.4225      0.2500      0.0590     -0.4086
  1      0.5775      0.2500      0.0520     -0.4074
  1      0.7245      0.2500      0.0360     -0.4510
  1      0.8495      0.2500      0.0190     -0.5661
  1      0.9525      0.2500      0.0060     -0.6614
 
  2      0.0595      0.7500      0.0295     -0.8692
  2      0.1505      0.7500      0.0440     -0.5684
  2      0.2755      0.7500      0.0550     -0.4554
  2      0.4225      0.7500      0.0590     -0.4094
  2      0.5775      0.7500      0.0520     -0.4082
  2      0.7245      0.7500      0.0360     -0.4519
  2      0.8495      0.7500      0.0190     -0.5672
  2      0.9525      0.7500      0.0060     -0.6627
 
  3      0.0595      1.2500      0.0295     -0.8728
  3      0.1505      1.2500      0.0440     -0.5708
  3      0.2755      1.2500      0.0550     -0.4573
  3      0.4225      1.2500      0.0590     -0.4111
  3      0.5775      1.2500      0.0520     -0.4099
  3      0.7245      1.2500      0.0360     -0.4538
  3      0.8495      1.2500      0.0190     -0.5696
  3      0.9525      1.2500      0.0060     -0.6655
 
  4      0.0595      1.7500      0.0295     -0.8785
  4      0.1505      1.7500      0.0440     -0.5745
  4      0.2755      1.7500      0.0550     -0.4602
  4      0.4225      1.7500      0.0590     -0.4138
  4      0.5775      1.7500      0.0520     -0.4126
  4      0.7245      1.7500      0.0360     -0.4567
  4      0.8495      1.7500      0.0190     -0.5733
  4      0.9525      1.7500      0.0060     -0.6698
 
  5      0.0595      2.2500      0.0295     -0.8868
  5      0.1505      2.2500      0.0440     -0.5799
  5      0.2755      2.2500      0.0550     -0.4646
  5      0.4225      2.2500      0.0590     -0.4176
  5      0.5775      2.2500      0.0520     -0.4164
  5      0.7245      2.2500      0.0360     -0.4610
  5      0.8495      2.2500      0.0190     -0.5787
  5      0.9525      2.2500      0.0060     -0.6761
 
  6      0.0595      2.7500      0.0295     -0.8981
  6      0.1505      2.7500      0.0440     -0.5873
  6      0.2755      2.7500      0.0550     -0.4705
  6      0.4225      2.7500      0.0590     -0.4230
  6      0.5775      2.7500      0.0520     -0.4218
  6      0.7245      2.7500      0.0360     -0.4669
  6      0.8495      2.7500      0.0190     -0.5861
  6      0.9525      2.7500      0.0060     -0.6848
 
