    I    J      U1        V1        W1        U2        V2        W2        U3        V3        W3        U4        V4        W4        A1
    4   12     0.000    -0.000     0.001    -0.000    -0.000    -0.001    -0.000     0.000    -0.001     0.000    -0.000     0.001     0.000
    4   13     0.000    -0.000     0.001    -0.000    -0.000    -0.001    -0.000    -0.000    -0.001     0.000     0.000     0.001     0.000
    5    1     0.000     0.000     0.005     0.000    -0.003    -0.004    -0.000    -0.000    -0.000     0.000     0.003     0.001     0.003
    5    2     0.000     0.000     0.004     0.000    -0.003    -0.006    -0.000    -0.000    -0.000     0.000     0.003     0.004     0.002
    5    3     0.000    -0.000     0.003     0.000    -0.002    -0.007    -0.000    -0.000    -0.000     0.000     0.003     0.006     0.002
    5    4     0.000     0.000     0.003     0.000    -0.002    -0.008    -0.000    -0.000    -0.000     0.000     0.002     0.007     0.002
    5    5     0.000     0.000     0.002     0.000    -0.002    -0.009    -0.000    -0.000    -0.000     0.000     0.002     0.008     0.002
    5    6     0.000    -0.000     0.002     0.000    -0.002    -0.009    -0.000    -0.000    -0.000     0.000     0.002     0.009     0.002
    5    7     0.000     0.000     0.002     0.000    -0.002    -0.010    -0.000    -0.000    -0.000     0.000     0.002     0.009     0.001
    5    8     0.000     0.000     0.001     0.000    -0.002    -0.010    -0.000    -0.000    -0.000     0.000     0.002     0.010     0.001
    5    9     0.000    -0.000     0.001     0.000    -0.002    -0.010    -0.000    -0.000    -0.000     0.000     0.002     0.010     0.001
    5   10     0.000     0.000     0.001     0.000    -0.002    -0.010    -0.000    -0.000    -0.000     0.000     0.002     0.010     0.001
    5   11     0.000     0.000     0.001     0.000    -0.001    -0.010    -0.000    -0.000    -0.000     0.000     0.002     0.010     0.001
    5   12     0.000    -0.000     0.001     0.000    -0.001    -0.010    -0.000    -0.000    -0.000     0.000     0.001     0.010     0.001
    5   13     0.000     0.000     0.001     0.000    -0.001    -0.010    -0.000    -0.000    -0.000     0.000     0.001     0.010     0.001
    I    J      U1        V1        W1        U2        V2        W2        U3        V3        W3        U4        V4        W4        A1
    1    1    -0.004    -0.000    -0.046     0.255     0.001     2.730    -0.071     0.000    -0.756    -0.039     0.000    -0.414     1.521
    1    2    -0.035     0.000    -0.371    -0.253     0.001    -2.703    -0.032    -0.000    -0.343    -0.255    -0.001    -2.730    -6.173
    1    3    -0.084     0.000    -0.899    -0.031     0.000    -0.326    -0.005    -0.000    -0.053     0.253    -0.001     2.703     1.431
    1    4    -0.012     0.000    -0.126    -0.009     0.000    -0.091    -0.001    -0.000    -0.015     0.031    -0.000     0.326     0.094
    1    5    -0.002     0.000    -0.023    -0.004    -0.000    -0.041    -0.001    -0.000    -0.006     0.009    -0.000     0.091     0.021
    1    6    -0.001    -0.000    -0.008    -0.002     0.000    -0.023    -0.000    -0.000    -0.003     0.004     0.000     0.041     0.008
    1    7    -0.000    -0.000    -0.003    -0.001     0.000    -0.014    -0.000    -0.000    -0.002     0.002    -0.000     0.023     0.004
    1    8    -0.000    -0.000    -0.002    -0.001     0.000    -0.009    -0.000    -0.000    -0.001     0.001    -0.000     0.014     0.002
    1    9    -0.000     0.000    -0.001    -0.001    -0.000    -0.006    -0.000     0.000    -0.001     0.001    -0.000     0.009     0.001
    1   10    -0.000    -0.000    -0.001    -0.000    -0.000    -0.004    -0.000    -0.000    -0.000     0.001     0.000     0.006     0.001
    1   11    -0.000    -0.000    -0.000    -0.000     0.000    -0.003    -0.000    -0.000    -0.000     0.000     0.000     0.004     0.000
    1   12    -0.000    -0.000    -0.000    -0.000     0.000    -0.002    -0.000    -0.000    -0.000     0.000    -0.000     0.003     0.000
    1   13    -0.000     0.000    -0.000    -0.000    -0.000    -0.002    -0.000    -0.000    -0.000     0.000    -0.000     0.002     0.000
    2    1     0.071    -0.000     0.756     0.013     0.000     0.137    -0.005     0.000    -0.057    -0.045     0.000    -0.476     0.363
    2    2     0.032     0.000     0.343    -0.003     0.000    -0.031    -0.003    -0.000    -0.032    -0.013    -0.000    -0.137     0.143
    2    3     0.005     0.000     0.053    -0.003     0.000    -0.030    -0.002     0.000    -0.018     0.003    -0.000     0.031     0.036
    2    4     0.001     0.000     0.015    -0.002     0.000    -0.022    -0.001    -0.000    -0.010     0.003    -0.000     0.030     0.013
    2    5     0.001     0.000     0.006    -0.001    -0.000    -0.015    -0.001     0.000    -0.006     0.002    -0.000     0.022     0.006
    2    6     0.000     0.000     0.003    -0.001     0.000    -0.011    -0.000    -0.000    -0.004     0.001     0.000     0.015     0.003
    2    7     0.000     0.000     0.002    -0.001    -0.000    -0.008    -0.000     0.000    -0.003     0.001    -0.000     0.011     0.002
